site_id,date,time,so2,co,o3,no2,nox,no
9,2024-08-31,20,1,0,53,9,10,1
18,2024-08-31,20,2,0,43,19,20,1
17,2024-08-31,20,2,0,47,12,14,1
16,2024-08-31,20,2,1,33,26,35,9
15,2024-08-31,20,1,0,50,10,11,0
14,2024-08-31,20,2,0,46,9,10,1
13,2024-08-31,20,2,0,41,20,21,1
12,2024-08-31,20,1,0,44,16,17,1
10,2024-08-31,20,1,0,46,4,5,1
8,2024-08-31,20,1,0,52,10,11,1
20,2024-08-31,20,1,0,44,13,14,1
7,2024-08-31,20,1,0,49,10,10,0
6,2024-08-31,20,3,0,43,14,16,2
5,2024-08-31,20,1,0,45,9,9,0
4,2024-08-31,20,1,0,48,8,8,1
3,2024-08-31,20,0,0,33,6,7,1
2,2024-08-31,20,1,0,53,8,9,1
1,2024-08-31,20,2,0,63,4,4,0
40,2024-08-31,20,1,0,41,6,7,1
19,2024-08-31,20,2,0,38,16,16,1
11,2024-08-31,20,1,0,52,8,9,0
21,2024-08-31,20,2,0,37,9,10,1
30,2024-08-31,20,1,0,31,8,9,1
38,2024-08-31,20,1,0,34,2,3,1
37,2024-08-31,20,2,0,40,4,5,1
36,2024-08-31,20,4,1,30,12,13,1
35,2024-08-31,20,0,0,40,3,3,1
34,2024-08-31,20,1,0,44,3,3,0
33,2024-08-31,20,2,0,35,9,11,1
32,2024-08-31,20,2,0,37,5,6,1
31,2024-08-31,20,1,0,35,6,8,2
39,2024-08-31,20,2,0,39,4,4,0
29,2024-08-31,20,1,0,42,3,3,0
28,2024-08-31,20,1,0,44,4,5,1
27,2024-08-31,20,1,0,47,2,2,0
26,2024-08-31,20,1,0,32,3,5,1
25,2024-08-31,20,2,0,38,6,7,2
24,2024-08-31,20,1,0,28,12,13,1
23,2024-08-31,20,1,0,32,5,6,1
22,2024-08-31,20,2,0,45,10,11,1
59,2024-08-31,19,1,0,49,7,7,1
56,2024-08-31,19,1,0,47,7,8,1
57,2024-08-31,19,2,0,41,11,13,2
58,2024-08-31,19,0,0,43,8,10,2
63,2024-08-31,19,0,0,25,2,3,1
60,2024-08-31,19,1,0,33,3,3,1
61,2024-08-31,19,NULL,NULL,NULL,NULL,NULL,NULL
62,2024-08-31,19,2,0,13,5,6,1
53,2024-08-31,19,0,0,49,7,9,1
54,2024-08-31,19,1,0,48,8,8,0
49,2024-08-31,19,1,0,51,5,6,0
52,2024-08-31,19,1,0,39,4,5,0
51,2024-08-31,19,0,0,43,7,7,1
50,2024-08-31,19,2,0,46,8,8,1
65,2024-08-31,19,1,0,70,4,5,0
48,2024-08-31,19,1,0,49,5,6,1
47,2024-08-31,19,1,0,49,4,5,1
46,2024-08-31,19,0,0,50,6,6,1
45,2024-08-31,19,1,0,48,5,5,0
44,2024-08-31,19,1,0,50,3,3,1
