site_id,date,time,aqi,status
69,2024-08-31,18,80,Moderate
83,2024-08-31,18,45,Good
80,2024-08-31,18,19,Good
78,2024-08-31,18,58,Moderate
77,2024-08-31,18,45,Good
75,2024-08-31,18,50,Good
72,2024-08-31,18,71,Moderate
71,2024-08-31,18,54,Moderate
70,2024-08-31,18,84,Moderate
45,2024-08-31,18,51,Moderate
21,2024-08-31,18,84,Moderate
43,2024-08-31,18,55,Moderate
10,2024-08-31,18,48,Good
19,2024-08-31,18,51,Moderate
18,2024-08-31,18,45,Good
17,2024-08-31,18,51,Moderate
16,2024-08-31,18,72,Moderate
15,2024-08-31,18,77,Moderate
14,2024-08-31,18,97,Moderate
13,2024-08-31,18,77,Moderate
11,2024-08-31,18,50,Good
9,2024-08-31,18,45,Good
22,2024-08-31,18,54,Moderate
8,2024-08-31,18,71,Moderate
7,2024-08-31,18,71,Moderate
6,2024-08-31,18,126,"Unhealthy for Sensitive Groups"
5,2024-08-31,18,129,"Unhealthy for Sensitive Groups"
4,2024-08-31,18,104,"Unhealthy for Sensitive Groups"
3,2024-08-31,18,90,Moderate
2,2024-08-31,18,80,Moderate
42,2024-08-31,18,67,Moderate
20,2024-08-31,18,51,Moderate
12,2024-08-31,18,61,Moderate
41,2024-08-31,18,47,Good
32,2024-08-31,18,45,Good
23,2024-08-31,18,67,Moderate
40,2024-08-31,18,47,Good
39,2024-08-31,18,47,Good
38,2024-08-31,18,59,Moderate
37,2024-08-31,18,67,Moderate
36,2024-08-31,18,77,Moderate
34,2024-08-31,18,49,Good
33,2024-08-31,18,54,Moderate
35,2024-08-31,18,52,Moderate
31,2024-08-31,18,50,Good
28,2024-08-31,18,50,Good
25,2024-08-31,18,49,Good
26,2024-08-31,18,44,Good
27,2024-08-31,18,51,Moderate
24,2024-08-31,18,43,Good
29,2024-08-31,18,45,Good
30,2024-08-31,18,61,Moderate
53,2024-08-31,17,55,Moderate
63,2024-08-31,17,24,Good
62,2024-08-31,17,33,Good
61,2024-08-31,17,19,Good
60,2024-08-31,17,50,Good
59,2024-08-31,17,61,Moderate
58,2024-08-31,17,62,Moderate
57,2024-08-31,17,56,Moderate
56,2024-08-31,17,52,Moderate
54,2024-08-31,17,50,Good
44,2024-08-31,17,54,Moderate
52,2024-08-31,17,71,Moderate
51,2024-08-31,17,74,Moderate
