county,sitename,Date,pm2.5,pm10,no,no2,nox,co,so2,o3,AQI,status
Region XII (SOCCSKSARGEN),Tacurong,2017-06-01,13.741912933128235,34.24030413479207,7.050209858147048,18.365355980549847,13.470249894509356,0.3187899468612915,3.4770006939762514,60.702346774581045,54.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-07-01,5.726931400662584,14.113453762613052,4.275525281481171,9.433823818887156,7.265955023195214,0.1625592275416713,1.4650781227070055,40.73564256542303,24.0,good
Region XII (SOCCSKSARGEN),Tacurong,2017-08-01,9.674693138892216,15.741809813151503,7.232706083612098,13.071169023196267,10.761053806608434,0.4726311662071985,2.339126433656596,16.843758856776034,40.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2017-09-01,10.07802744894648,19.20155459693216,8.21770138631929,11.215475962398852,7.932160503203962,0.3670718311897008,4.968543454676975,6.488812509200188,42.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2017-10-01,13.381985343894492,22.661299380712823,9.20269668902648,18.613902979077285,14.742797824094994,0.6401406376169253,5.058211416433903,46.28346579055575,54.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-11-01,18.105344267471537,32.9417958164774,13.7538109492741,22.99191342227092,19.475233916918864,0.7998858317470324,4.764636441692774,36.884753926727655,64.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2017-12-01,31.40317320889208,58.202891814233546,23.529136484978853,44.01138563143276,35.79647672169816,1.5226620417981218,18.128574120274564,48.06938181806691,92.0,emergency
Region XII (SOCCSKSARGEN),Tacurong,2018-01-01,11.30789491796073,20.20519592333325,7.388768610550967,14.846245936901372,11.78455771014974,0.4767691727122969,4.702279337749112,45.85302059125038,47.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2018-02-01,18.07800427013443,42.54195134153909,15.34088841554528,27.44803788051533,19.996169820315817,0.5035168232906612,7.520750792610926,29.77255214777995,64.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2018-03-01,33.837691181952735,61.92068763389257,23.29300822053959,55.591931279014304,41.80901793476357,1.447646905391488,13.955531664036888,19.0519045485663,97.0,emergency
Region XII (SOCCSKSARGEN),Tacurong,2018-04-01,10.31834482477119,23.90490587691628,5.758440424841494,17.635728609076683,12.398909587976632,0.3276393314284401,3.655413622052911,56.727184569334185,43.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2018-05-01,16.16118956936284,40.3120965889604,7.44411921679781,25.74529364485282,17.590388816674835,0.4008006296098302,4.15657824893907,40.44068810180585,60.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2018-06-01,5.208669193705513,12.192252511890477,6.847371044288991,6.688027103787834,4.730244879952871,0.1428536518271239,1.8866865886629007,15.576052005339635,22.0,good
Region XII (SOCCSKSARGEN),Tacurong,2018-07-01,10.959686637913617,20.23314796252065,6.250622871780172,14.891654201448755,11.205406848811332,0.3155313325890562,4.262397435337584,67.43344863445476,46.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2018-08-01,6.130783970429206,13.556710728108794,3.2369156274757813,9.278404295263526,6.633119559051833,0.1415457133607974,6.159634505109514,41.57602843878301,26.0,fair
Region XII (SOCCSKSARGEN),Tacurong,2018-09-01,16.36208505955154,33.27922844428421,4.055302839800692,19.23956735432796,15.072728812321502,0.5247275664353734,8.056871574881445,18.372383375637884,60.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2018-10-01,11.324985610575812,25.8947810008053,4.873690052125602,17.682948672159007,11.955018523870844,0.5466687604685107,5.480946962568945,26.01740617662857,47.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2018-11-01,7.516821920141652,12.426038732205924,4.474700652633228,25.408497821250972,8.426473030151769,0.1942193211840573,2.427667584986692,47.73644036318685,31.0,fair
Region XII (SOCCSKSARGEN),Tacurong,2018-12-01,11.977075115557176,46.44999386656136,13.70899410599669,33.13404697034294,24.826811770460004,1.0719198444088256,12.070343493473382,19.525993729074937,45.5,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-01-01,16.4373283109727,37.37300722316804,11.562418574693767,20.82053163573573,17.162963611527637,0.5686101577382469,7.470926436032241,26.271672245996108,60.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-02-01,22.62255021778764,51.154819439271726,13.460275113863949,33.50973150927448,24.89410351026337,0.967180479964483,4.828029044196127,31.29869115013928,73.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-03-01,5.818698976418011,14.334906100017296,3.945283894841631,6.73913312015131,5.662741017946259,0.1359317340454887,2.631673584208501,39.86801724642851,24.0,good
Region XII (SOCCSKSARGEN),Tacurong,2019-04-01,17.95059529798929,27.974412004240016,6.905462307320199,20.67471983888265,14.617496537487511,0.8232741142243462,8.496243507963527,47.02182654583008,63.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-05-01,21.18673355715767,22.020993081154177,7.638481595969773,34.21268981446924,22.181120847532675,0.7911460461634247,11.545664255914325,39.97100328535074,70.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-06-01,8.129086054679874,16.06757415806834,3.1688847578264405,10.597469030683277,7.296167507910149,0.1942300289348091,4.448060756032475,14.1536302467763,34.0,fair
Region XII (SOCCSKSARGEN),Tacurong,2019-07-01,3.449584728978353,6.242932630603305,2.494507039138077,4.952496533935563,3.9469118937290295,0.1206098395240034,1.154825654491895,55.82211072950146,14.0,good
Region XII (SOCCSKSARGEN),Tacurong,2019-08-01,10.266998025925792,18.58110536421646,5.935094298295905,12.67146472955882,9.861476284763006,0.4144720379329356,2.202073697570295,42.22302704855005,43.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2019-09-01,17.377445645173196,29.12683375707408,9.169341537215091,20.65629186802228,15.807585704775809,0.5626755559624518,6.341675227044029,18.894576945863967,62.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-10-01,16.805209851550714,38.86963370427727,6.679531815853659,27.289869571949577,20.529845239624755,0.4997433362106189,7.575377024592654,55.585691903583445,61.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-11-01,11.572572521955388,27.86755365401592,4.189722094492226,18.925147631836897,12.250880954954436,0.3367770664549516,4.294963571664975,41.99485499060246,48.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2019-12-01,4.735316508988461,7.492820868404231,1.4352932892651926,7.903376469394076,4.949494972089412,0.1705970316688126,1.5978635292202656,51.98626348765293,20.0,good
Region XII (SOCCSKSARGEN),Tacurong,2020-01-01,11.55056223720342,19.11501287654444,5.261077866172856,19.4460206211212,13.094762198265846,0.38319407998564,4.360663629642238,36.40099758926649,48.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2020-02-01,11.2521787941447,19.44886219183386,4.775955412034013,14.955312509552131,10.457571998440658,0.4753122643311744,4.948480122360775,22.505637824761862,47.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2020-03-01,18.57157426643822,37.31006025674255,8.425280944634613,30.59061144860104,20.678422968414896,0.9000588260854696,9.379223491605057,28.02559577546073,65.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2020-04-01,14.159987976767027,32.44296844424655,11.140861517960222,18.078729557410977,15.486383269946735,0.3595500941194671,2.9118737474847465,42.50926576638874,55.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2020-05-01,8.973886306102864,14.102063214337877,5.239608765143892,9.350918905555826,7.732979665470851,0.31642782483968,4.035115160389794,32.85012940927966,37.0,unhealthy for sensitive group
Region XII (SOCCSKSARGEN),Tacurong,2020-06-01,16.683873176659738,35.65031685496486,9.919496105129747,25.88452910815333,18.976133363040034,0.578802266983007,4.177141089507362,30.589648744306707,61.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2020-07-01,11.28638485769107,18.61503471890346,7.085983418025719,13.08281091022308,10.689460993971863,0.5638410256942823,6.094800610088137,5.2718410831815765,47.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2020-08-01,12.938327655293268,31.976521330173497,4.095633279759791,17.611362430605567,12.754880318625586,0.5488797844055575,5.458969433613208,17.194946066059654,53.0,very unhealthy
